Technique ID,External Technique ID,Procedure ID,Procedure Title,Test ID
TRR0000,T1564.006,TRR0000.WIN.A,Execute VM via Hyper-V,T1564.006.AT3
TRR0000,T1564.006,TRR0000.WIN.B,Execute VM via Windows Sandbox,
TRR0011,T1003.006,TRR0011.AD.A,Request replication from a DC,"T1003.006.AT1, T1003.006.AT2"
TRR0012,T1558.004,TRR0012.AD.A,Enumerate Accounts Lacking Pre-Authentication via LDAP,"T1558.004.AT1, T1558.004.AT2, T1558.004.AT3"
TRR0012,T1558.004,TRR0012.AD.B,Enumerate Accounts Lacking Pre-Authentication via ADWS,
TRR0012,T1558.004,TRR0012.AD.C,Test All Accounts for Pre-Authentication Status,
TRR0012,T1558.004,TRR0012.AD.D,Intercept AS Messages on the Network,
TRR0013,T1558.001,TRR0013.AD.A,Forge a TGT from scratch (Golden Ticket),"T1558.001.AT1, T1558.001.AT2"
TRR0013,T1558.001,TRR0013.AD.B,Forge TGT using PAC acquired via U2U+S4U2Self (Sapphire Ticket),
TRR0014,T1207,TRR0014.AD.A,Insert a rogue DC,T1207.AT1
TRR0015,T1003.003,TRR0015.WIN.A,Volume shadow copy access,"T1003.003.AT1, T1003.003.AT2, T1003.003.AT3, T1003.003.AT4, T1003.003.AT5, T1003.003.AT6, T1003.003.AT7, T1003.003.AT8, T1003.003.AT9"
TRR0015,T1003.003,TRR0015.WIN.B,Raw disk access,
TRR0016,T1218.005,TRR0016.WIN.A,Mshta executing HTA files or inline scripts,"T1218.005.AT1, T1218.005.AT2, T1218.005.AT3, T1218.005.AT4, T1218.005.AT5, T1218.005.AT6, T1218.005.AT8, T1218.005.AT9, T1218.005.AT10"
TRR0016,T1218.005,TRR0016.WIN.B,RunDll32 calling RunHTMLApplication from mshtml.dll,T1218.005.AT7
TRR0017,T1200,TRR0017.WIN.A,Hardware-based keystroke logging,
TRR0017,T1200,TRR0017.WIN.B,Keystroke injection,
TRR0017,T1200,TRR0017.WIN.C,Clandestine data transfer,
TRR0018,T1558.003,TRR0018.AD.A,Enumerate SPNs with LDAP,"T1558.003.AT1, T1558.003.AT2, T1558.003.AT3, T1558.003.AT5, T1558.003.AT6, T1558.003.AT7"
TRR0018,T1558.003,TRR0018.AD.B,Enumerate SPNs with ADWS,
TRR0018,T1558.003,TRR0018.AD.C,Intercept Tickets On the Network,
TRR0018,T1558.003,TRR0018.AD.D,Harvest Tickets off Endpoints,
TRR0019,T1114.002,TRR0019.EXO.A,Valid Credentials,T1114.002.AT1
TRR0019,T1114.002,TRR0019.EXO.B,API Access as an Application,
TRR0019,T1114.002,TRR0019.EXO.C,eDiscovery,
TRR0019,T1114.002,TRR0019.EXO.D,Mailbox Delegation,T1098.002.AT1
TRR0019,T1114.002,TRR0019.EXO.E,Export Mailbox,
TRR0020,T1098.001,TRR0020.AZR.A,Add credentials,"T1098.001.AT1, T1098.001.AT2"
TRR0020,T1098.001,TRR0020.AZR.B,Add owner,
TRR0020,T1098.001,TRR0020.AZR.C,Add role,"T1098.003.AT1, T1098.003.AT2, T1098.AT5, T1098.AT7"
TRR0020,T1098.001,TRR0020.AZR.D,Add API permissions,T1098.AT8
TRR0021,T1136.003,TRR0021.AZR.A,Create guest account,
TRR0022,T1496.004,TRR0022.AZR.A,Hijack via an external guest user,
TRR0022,T1496.004,TRR0022.AZR.B,Hijack via an internal user,
TRR0023,T1070.001,TRR0023.WIN.A,Event Clearing via RPC Call,"T1070.001.AT1, T1070.001.AT2, T1070.001.AT3"
TRR0023,T1070.001,TRR0023.WIN.B,Event Logging Process Termination,
TRR0023,T1070.001,TRR0023.WIN.C,Event Log File Redirection,
TRR0024,T1550.003,TRR0024.WIN.A,Submit ticket to local cache,"T1550.003.AT1, T1550.003.AT2"
TRR0025,T1055.004,TRR0025.WIN.A,Queue Remote APC,"T1055.004.AT1, T1055.004.AT2, T1055.004.AT3"
TRR0026,T1055.005,TRR0026.WIN.A,Malicious TLS Callback,
TRR0027,T1546.003,TRR0027.WIN.A,Create a WMI Event Subscription,"T1546.003.AT1, T1546.003.AT2, T1546.003.AT3"
